slug,name,brand,releasedAt,score,msrpGbp,plate,discontinued,breathability,toebox-durability,heel-padding-durability,outsole-durability,forefoot-stack,heel-stack,drop,outsole-thickness,outsole-hardness,midsole-softness,midsole-softness-in-cold,difference-in-midsole-softness-in-cold,stiffness,stiffness-in-cold,difference-in-stiffness-in-cold,torsional-rigidity,heel-counter-stiffness,lateral-stability-test,weight,midsole-width-in-the-forefoot,midsole-width-in-the-heel,toebox-width-at-the-widest-part,toebox-width-at-the-big-toe,internal-length,insole-thickness,tongue-padding,lug-depth,secondary-foam-softness,midsole-softness-in-the-forefoot,price,toe-guard-durability,size-rating,toebox-width-widest-part,toebox-width-big-toe,toebox-height,rocker,flexibility-stiffness,forefoot-traction,heel-traction,forefoot-traction-stop,energy-return-heel,energy-return-forefoot,shock-absorption-heel,shock-absorption-forefoot,midsole-softness-22,midsole-softness-in-cold-22,secondary-foam-softness-22,midsole-softness-in-the-forefoot-22,torsional-rigidity-23,insulation,breathability-25,sweat-on-skin,sweat-in-shoe,sweat-evaporated,drying-potential
adidas-adistar-3,adidas Adistar 3,adidas,2024-01-01,73,130,none,true,5,1,3,0.97,30.2,40.7,10.5,3,75,14.8,18.66,26.5,16.7,20.9,25.1,4,4,,274,113.4,91.9,98.6,78.2,274.8,4.8,12.3,,,,130,,3.1,95,72.6,26.5,,12.3,0.4,,,54,55.13,135.68889250726,132.26813396117,34.5,,,,,,,,,,
adidas-adistar-4,adidas Adistar 4,adidas,2026-01-01,76,140,none,false,2,3,1,0.71,29.9,40,10.1,2.4,,,,21.9,,,,4,5,,275,115,89.6,,,275.9,4.2,4.3,,,,140,,3.17,95.4,73.8,27.8,,17.4,0.57,,,51.9,55.9,131.76966662274,130.3271210739,33.8,41.2,,,15.8,,,,,,
adidas-adistar-byd,adidas Adistar BYD,adidas,2026-01-01,71,180,carbon,false,2,1,1,0.74,31.9,38.7,6.8,2.4,,,,9.6,,,,4,5,,278,115,89.1,,,273.3,4.2,6,,,,180,,2.5,97.1,73.9,26.6,,15.5,0.68,,,59.9,67.2,131.1647429171,128.68356710848,33.5,36.7,43.3,,14.4,,,,,,
adidas-adizero-adios-8,adidas Adizero Adios 8,adidas,2023-06-01,77,130,none,true,5,1,2,0.65,20.4,28,7.6,2.4,85.1,16.5,17.1,3.8,17.5,20,14.1,2,1,,210,114,81.6,101.5,80.9,266.9,3,2,,18.9,,130,,3.15,,,,,8.8,0.55,,,61.24,74.57,126.21959685461,78.974593873151,,,,,,,,,,,
adidas-adizero-adios-9,adidas Adizero Adios 9,adidas,2025-01-01,85,140,plated-other,false,2,1,4,0.56,18.8,25,6.2,1,51,16,19,18.8,,,,2,1,,176,110.8,72.5,,,,2.6,2.6,,,,140,,2.49,94.3,70.6,27.5,,5.2,0.55,,,76.2,77.34,118.91879035806,68.341488750991,37.6,,,,,,,,,,
adidas-adizero-adios-pro-3,adidas Adizero Adios Pro 3,adidas,2022-06-01,92,250,carbon,true,5,1,5,0.26,29.8,37.8,8,1.4,55.5,20.9,22.8,9,45.6,56.9,24.7,5,1,,218,119.4,84,96.9,76.8,264.2,2.7,0.9,,,,250,,3.02,95.5,77.8,28.3,,25.3,0.59,,,75,75.09,136.3177840181,120.13166430408,37.6,,,,,,,,,,
adidas-adizero-adios-pro-4,adidas Adizero Adios Pro 4,adidas,2025-01-01,93,250,carbon,false,2,1,5,0.8,28.5,36.6,8.1,1,41,11,11.8,6.8,31.9,38.8,21.8,4,1,,200,118.8,80.4,,,,1.9,5.6,,,,250,,2.37,93.2,69.5,28.3,,22.7,0.55,,,80.38,80.29,141.70327334561,116.70245541966,29.3,,,,,,,,,,
adidas-adizero-adios-pro-evo-2,adidas Adizero Adios Pro Evo 2,adidas,2025-01-01,84,500,carbon,true,5,1,5,16.3,30.6,38.4,7.8,0.5,,22.1,23.38,5.6,,,,5,1,,139,114,80.1,,,,,0.4,,,,500,,,89.5,68,23.4,,27.1,0.64,,,73.5,74.4,150.24038461538,133.5648457326,36.5,,36.5,,15.1,,67,7,28,65,62
adidas-adizero-adios-pro-evo-3,adidas Adizero Adios Pro Evo 3,adidas,2026-01-01,91,500,carbon,false,3,1,3,6.3,32.2,38.1,5.9,1,,,,1.4,,,,,1,,99,114.5,83.7,,,263.4,,1.8,,,,500,,2.79,89.3,65.9,29.9,,15.6,0.57,,,76.8,80.2,153.09246785058,141.56285390713,21,21.3,,,8.3,,75,6,26,68,65
adidas-adizero-boston-12,adidas Adizero Boston 12,adidas,2023-06-01,86,160,none,true,5,1,3,0.7,28.4,34.5,6.1,2.8,79.8,24,30,25,26.7,33.3,24.6,4,1,,261,118.2,86,101.9,78.2,269.4,3.8,2.9,,18.5,,160,,3.55,99.2,73.2,25.8,,17.3,0.57,,,63.47,67.15,128.31040854034,107.28117322691,38.3,,29.2,,,,,,,,
adidas-adizero-boston-13,adidas Adizero Boston 13,adidas,2025-01-01,88,160,carbon,false,4,2,4,0.5,28.3,34.3,6,2.3,76.8,23,30,30.4,,,,5,4,,254,121,83.8,,,,3.3,2.9,,14.5,,160,,2.88,97.3,70.6,28.3,,15.4,0.47,,,63.42,69.73,126.59189305517,107.73075928639,40.5,,31.8,,,,,,,,
adidas-adizero-evo-sl,adidas Adizero EVO SL,adidas,2024-01-01,94,150,plated-other,false,5,1,5,0.55,28.1,36.1,8,1.6,57.1,21.3,24,12.9,19.2,21.3,11,4,3,,223,116.3,87.3,98.7,78.3,272.6,2.4,1.5,,,,150,,2.85,97.5,71.6,28.1,,9.8,0.4,,,74.3,73.54,146.95077149155,125.8558195731,43.5,,,,,,76,,,,43
adidas-adizero-evo-sl-atr,adidas Adizero EVO SL ATR,adidas,2026-01-01,87,160,plated-other,false,1,2,5,0.7,31.1,39.2,8.1,3.5,,21.5,21.5,0,,,,5,3,,264,116.4,84.7,,,272.1,3.1,1.7,,,,160,,3.16,97.7,72.8,27.4,,14.6,0.65,,,71.1,71.8,149.38751120406,132.34515616728,38.3,38.3,,,14.3,,52,10,58,32,29
adidas-adizero-prime-x-2-strung,adidas Adizero Prime X 2 Strung,adidas,2024-01-01,82,300,carbon,true,4,5,5,0.35,36.9,45.7,8.8,1.5,60.4,24.3,27.38,12.9,76.6,83.3,8.8,5,1,,305,115.2,81.6,96,76.1,,2.8,1,,14.9,,300,,2.52,93.7,69,26.1,,37,0.68,,,72.5,74.4,147.97277300977,127.37230925997,41.6,,27.9,,,,,,,,
adidas-adizero-prime-x-3-strung,adidas Adizero Prime X3 STRUNG,adidas,2025-01-01,87,300,carbon,false,4,5,4,1.9,35.1,48.1,13,1.8,56.2,19.5,21.7,11.3,,,,5,1,,291,124.3,84.6,,,,2.7,1.6,,14,,300,,3.03,97.8,73.2,25.4,,38.5,0.56,,,73.71,76.69,159.74440894569,125.03907471085,36.1,,28.2,,22.5,,,,,,
adidas-adizero-sl,adidas Adizero SL,adidas,2022-12-01,74,120,none,true,5,3,5,0.71,26.3,34.9,8.6,3.5,88.4,22.1,28,26.7,22.3,30.4,36.1,4,3,,249,115.6,81,102.4,79.1,269.8,3.7,4.1,,26.8,,120,,2.52,,,,,18.3,0.42,,,48.71,64.75,117.99827722515,99.106063308953,36.5,,43.3,,,,,,,,
adidas-adizero-sl2,adidas Adizero SL2,adidas,2024-06-01,85,130,none,false,5,1,5,1.07,26.7,34.9,8.2,3.6,79.8,20.1,21.1,5,22.8,27.1,18.9,3,2,,245,113,82.4,101.8,77.6,268,3.4,12.7,,19.5,,130,,2.26,98.3,71.7,26.2,,12.7,0.69,,,56.11,64.34,136.07293509321,106.66666666667,36.8,,35.6,,,,,,,,
adidas-adizero-takumi-sen-10,adidas Adizero Takumi Sen 10,adidas,2024-01-01,80,180,none,true,5,1,4,1.94,22.8,30.6,7.8,1.8,52.1,13.4,15.75,17.7,29.9,37.7,26,4,1,,200,110.3,75.8,96.6,75.2,269.4,3.4,4,,20.4,,180,,2.21,,,,,16.2,0.5,,,71.81,73.43,131.11486973738,89.473448754082,30,,38.5,,,,,,,,
adidas-adizero-takumi-sen-11,adidas Adizero Takumi Sen 11,adidas,2026-01-01,86,180,plated-other,false,2,4,4,1.06,23.7,30.6,6.9,1.1,,16.6,17.4,4.8,,,,4,1,,184,112.5,72.6,,,268.5,2.2,5.5,,16.5,,180,,3.13,93.4,71.4,27.3,,16.4,0.7,,,74,79.5,128.66700977869,94.966761633428,28.9,,28.5,,9.9,,,,,,
adidas-alpha-bounce,adidas Alphabounce+,adidas,2023-01-01,58,100,none,false,3,1,1,0.91,26.2,37.7,11.5,4.3,87.8,22.4,26.3,17.2,26.3,38.5,46,4,3,,340,116.9,103.9,99.5,74.2,271.1,3.4,7.5,,21.8,,100,,3.03,96.6,67.9,25.8,,,,,,,,,,,,,,,,,,,,
